strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
MediumBreakout,BREAKOUT,Development,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,119,46,73,0.386555,-0.034300,-0.000288,0.999434,18.957800,1.037976,-0.854029,-0.612000,67,0.176249,52,-0.227750,2025.03.04 11:25:00,2025.12.30 14:25:00
MediumBreakout,BREAKOUT,Development,volatility,NORMAL,STRONGER_DESCRIPTIVE_SAMPLE,116,33,83,0.284483,-11.334800,-0.097714,0.828932,21.468700,0.902000,-0.831070,-0.680950,58,-0.043910,58,-0.151517,2025.03.04 21:35:00,2025.12.30 16:49:58
MediumBreakout,BREAKOUT,Final holdout,alignment,FULLY_ALIGNED,EXPLORATORY,27,8,19,0.296296,-2.237700,-0.082878,0.839128,8.080000,1.198374,-1.164885,-0.348100,14,-0.124600,13,-0.037946,2026.05.01 11:10:00,2026.07.15 15:59:58
MediumBreakout,BREAKOUT,Final holdout,alignment,OPPOSED,EXPLORATORY,38,14,24,0.368421,7.475100,0.196713,1.424792,6.149100,1.233805,-0.848432,-0.190500,17,0.203976,21,0.190833,2026.05.13 20:40:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Final holdout,alignment,PARTIALLY_ALIGNED,INSUFFICIENT,16,3,13,0.187500,-5.702800,-0.356425,0.512698,5.702800,0.898594,-2.222931,-0.932200,10,-0.583840,6,0.022600,2026.05.27 01:30:00,2026.07.15 14:44:58
MediumBreakout,BREAKOUT,Final holdout,direction,BEARISH,EXPLORATORY,49,16,33,0.326531,1.226300,0.025027,1.047131,9.224500,1.045131,-1.443271,-0.694300,21,0.008795,28,0.037200,2026.05.06 04:20:00,2026.07.21 05:39:58
MediumBreakout,BREAKOUT,Final holdout,direction,BULLISH,EXPLORATORY,32,9,23,0.281250,-1.691700,-0.052866,0.901593,6.776500,1.325212,-0.891841,-0.433250,20,-0.214995,12,0.217350,2026.05.01 11:10:00,2026.07.16 05:39:58
MediumBreakout,BREAKOUT,Final holdout,market_phase,PULLBACK,INSUFFICIENT,14,6,8,0.428571,5.214100,0.372436,1.768373,3.231900,1.364393,-0.852029,-0.392950,7,1.142857,7,-0.397986,2026.05.14 12:40:00,2026.07.15 20:34:58
MediumBreakout,BREAKOUT,Final holdout,market_phase,TREND_CONTINUATION,EXPLORATORY,23,6,17,0.260870,-2.999300,-0.130404,0.748165,8.841600,1.172917,-1.018809,-0.348100,13,-0.288031,10,0.074510,2026.05.01 11:10:00,2026.07.15 15:59:58
MediumBreakout,BREAKOUT,Final holdout,market_phase,UNCLASSIFIED,EXPLORATORY,44,13,31,0.295455,-2.680200,-0.060914,0.890667,7.457900,1.080445,-1.452232,-0.817350,21,-0.398610,23,0.247417,2026.05.13 20:40:00,2026.07.21 05:39:58
