strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-03,2,-2.000000,-1.000000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-05,3,-1.919500,-0.639833
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-06,2,1.921800,0.960900
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-07,4,-3.026000,-0.756500
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-08,2,1.000000,0.500000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-10,6,1.578500,0.263083
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-11,4,2.000000,0.500000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-12,2,-1.288200,-0.644100
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-01,1,2.000000,2.000000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-02,1,2.000000,2.000000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-03,2,-2.000000,-1.000000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-04,3,-1.997500,-0.665833
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-05,5,4.548500,0.909700
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-06,3,-2.163200,-0.721067
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-07,1,0.703800,0.703800
FastBreakout,BREAKOUT,direction,BEARISH,2025-03,9,1.438100,0.159789
FastBreakout,BREAKOUT,direction,BEARISH,2025-04,9,2.193400,0.243711
FastBreakout,BREAKOUT,direction,BEARISH,2025-05,8,-0.115000,-0.014375
FastBreakout,BREAKOUT,direction,BEARISH,2025-06,4,-2.233800,-0.558450
FastBreakout,BREAKOUT,direction,BEARISH,2025-07,9,-4.018900,-0.446544
FastBreakout,BREAKOUT,direction,BEARISH,2025-08,14,6.210300,0.443593
FastBreakout,BREAKOUT,direction,BEARISH,2025-09,2,1.000000,0.500000
FastBreakout,BREAKOUT,direction,BEARISH,2025-10,1,-0.651800,-0.651800
FastBreakout,BREAKOUT,direction,BEARISH,2025-11,7,-6.051000,-0.864429
FastBreakout,BREAKOUT,direction,BEARISH,2025-12,13,0.967300,0.074408
FastBreakout,BREAKOUT,direction,BEARISH,2026-01,4,5.360600,1.340150
FastBreakout,BREAKOUT,direction,BEARISH,2026-02,9,4.122700,0.458078
FastBreakout,BREAKOUT,direction,BEARISH,2026-03,3,6.000000,2.000000
FastBreakout,BREAKOUT,direction,BEARISH,2026-04,8,-1.627300,-0.203412
FastBreakout,BREAKOUT,direction,BEARISH,2026-05,12,-0.706800,-0.058900
FastBreakout,BREAKOUT,direction,BEARISH,2026-06,11,-2.917300,-0.265209
FastBreakout,BREAKOUT,direction,BEARISH,2026-07,5,0.724800,0.144960
FastBreakout,BREAKOUT,direction,BULLISH,2025-03,8,7.000000,0.875000
FastBreakout,BREAKOUT,direction,BULLISH,2025-04,7,0.735400,0.105057
FastBreakout,BREAKOUT,direction,BULLISH,2025-05,17,-4.419300,-0.259959
FastBreakout,BREAKOUT,direction,BULLISH,2025-06,6,0.065400,0.010900
FastBreakout,BREAKOUT,direction,BULLISH,2025-07,12,3.273200,0.272767
FastBreakout,BREAKOUT,direction,BULLISH,2025-08,5,-1.151100,-0.230220
FastBreakout,BREAKOUT,direction,BULLISH,2025-09,3,3.585700,1.195233
FastBreakout,BREAKOUT,direction,BULLISH,2025-10,10,0.193800,0.019380
FastBreakout,BREAKOUT,direction,BULLISH,2025-11,6,0.841800,0.140300
FastBreakout,BREAKOUT,direction,BULLISH,2025-12,12,2.346500,0.195542
FastBreakout,BREAKOUT,direction,BULLISH,2026-01,5,1.562500,0.312500
FastBreakout,BREAKOUT,direction,BULLISH,2026-02,2,-0.447500,-0.223750
FastBreakout,BREAKOUT,direction,BULLISH,2026-03,15,-6.983600,-0.465573
FastBreakout,BREAKOUT,direction,BULLISH,2026-04,6,2.606500,0.434417
FastBreakout,BREAKOUT,direction,BULLISH,2026-05,11,1.737400,0.157945
FastBreakout,BREAKOUT,direction,BULLISH,2026-06,2,1.000000,0.500000
FastBreakout,BREAKOUT,direction,BULLISH,2026-07,6,-0.801700,-0.133617
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-03,1,2.000000,2.000000
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-04,3,0.920300,0.306767
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-05,3,0.249300,0.083100
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-06,1,-0.322000,-0.322000
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-07,5,0.406300,0.081260
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-08,3,3.000000,1.000000
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-10,3,-2.039200,-0.679733
FastBreakout,BREAKOUT,market_phase,BREAKOUT,2025-11,3,-3.000000,-1.000000
