cluster_id,cluster_origin_id,consumed_event_id,rejected_event_id,consumed_signal_time,rejected_signal_time,minutes_after_consumed_signal,first_trade_close_time,after_first_trade_close,d032_accepted_as_trade,exact_event_duplicate,event_identity_class,execution_eligibility_class,audit_verdict
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251209,ASIA_LOW|20251209,SSRP|ASIA_LOW|20251209|1765268400|FINAL,SSRP|ASIA_LOW|20251209|1765272000|FINAL,2025.12.09 08:25:00,2025.12.09 09:25:00,60,2025.12.09 10:14:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251209,ASIA_LOW|20251209,SSRP|ASIA_LOW|20251209|1765268400|FINAL,SSRP|ASIA_LOW|20251209|1765272300|FINAL,2025.12.09 08:25:00,2025.12.09 09:30:00,65,2025.12.09 10:14:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,ASIA_HIGH|20251209,SSRP|ASIA_HIGH|20251209|1765293900|FINAL,SSRP|ASIA_HIGH|20251209|1765295700|FINAL,2025.12.09 15:30:00,2025.12.09 16:00:00,30,2025.12.09 16:34:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,ASIA_HIGH|20251209,SSRP|ASIA_HIGH|20251209|1765293900|FINAL,SSRP|ASIA_HIGH|20251209|1765296000|FINAL,2025.12.09 15:30:00,2025.12.09 16:05:00,35,2025.12.09 16:34:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,ASIA_HIGH|20251209,SSRP|ASIA_HIGH|20251209|1765293900|FINAL,SSRP|ASIA_HIGH|20251209|1765297800|FINAL,2025.12.09 15:30:00,2025.12.09 16:35:00,65,2025.12.09 16:34:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,ASIA_HIGH|20251209,SSRP|ASIA_HIGH|20251209|1765293900|FINAL,SSRP|ASIA_HIGH|20251209|1765299300|FINAL,2025.12.09 15:30:00,2025.12.09 17:05:00,95,2025.12.09 16:34:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251209,ASIA_HIGH|20251209,SSRP|ASIA_HIGH|20251209|1765293900|FINAL,SSRP|ASIA_HIGH|20251209|1765299900|FINAL,2025.12.09 15:30:00,2025.12.09 17:10:00,100,2025.12.09 16:34:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765380900|FINAL,2025.12.10 10:15:00,2025.12.10 15:40:00,325,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765381200|FINAL,2025.12.10 10:15:00,2025.12.10 15:45:00,330,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765381800|FINAL,2025.12.10 10:15:00,2025.12.10 16:05:00,350,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765382700|FINAL,2025.12.10 10:15:00,2025.12.10 16:10:00,355,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765391400|FINAL,2025.12.10 10:15:00,2025.12.10 18:40:00,505,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765392000|FINAL,2025.12.10 10:15:00,2025.12.10 18:45:00,510,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765392300|FINAL,2025.12.10 10:15:00,2025.12.10 18:50:00,515,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765393800|FINAL,2025.12.10 10:15:00,2025.12.10 19:20:00,545,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765400100|FINAL,2025.12.10 10:15:00,2025.12.10 21:00:00,645,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765400400|FINAL,2025.12.10 10:15:00,2025.12.10 21:05:00,650,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765401900|FINAL,2025.12.10 10:15:00,2025.12.10 21:30:00,675,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251210,ASIA_LOW|20251210,SSRP|ASIA_LOW|20251210|1765361400|FINAL,SSRP|ASIA_LOW|20251210|1765402200|FINAL,2025.12.10 10:15:00,2025.12.10 21:35:00,680,2025.12.10 10:44:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
