research_signal,production_candidate,eligible_candidate,cluster,execution_intent,order,position,entry_deal,exit_deal,closed_strategybook_trade,reported_r,recomputed_r,final_status,classification
SSR|ASIA_LOW|20250310|1741598700|FINAL,SSRP|ASIA_LOW|20250310|1741598700|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,12,12,12,13,true,-1.0000,-1.0,EXECUTED,broker-executed
SSR|ASIA_LOW|20250310|1741599300|FINAL,SSRP|ASIA_LOW|20250310|1741599300|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741607400|FINAL,SSRP|ASIA_LOW|20250310|1741607400|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741607700|FINAL,SSRP|ASIA_LOW|20250310|1741607700|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741608000|FINAL,SSRP|ASIA_LOW|20250310|1741608000|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741611900|FINAL,SSRP|ASIA_LOW|20250310|1741611900|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741612200|FINAL,SSRP|ASIA_LOW|20250310|1741612200|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741612500|FINAL,SSRP|ASIA_LOW|20250310|1741612500|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_LOW|20250310|1741615200|FINAL,SSRP|ASIA_LOW|20250310|1741615200|FINAL,true,MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250311|1741689000|FINAL,SSRP|ASIA_HIGH|20250311|1741689000|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,14,14,14,15,true,-1.0000,-1.0,EXECUTED,broker-executed
