logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251008,364,1,1,0.25,0.25000000,4033.12000000,4033.12,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251009,366,1,1,0.39,0.39000000,4024.72000000,4024.72,2.0000,2.000000000000071,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251010,368,1,1,0.25,0.25000000,4001.89000000,4001.89,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251014,370,1,1,0.06,0.06000000,4114.16000000,4114.16,0.6884,0.6884151040328791,0.68841510,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251014,372,1,1,0.1,0.10000000,4163.10000000,4163.1,2.0000,2.0000000000000373,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251015,374,1,1,0.37,0.37000000,4193.94000000,4193.94,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251016,376,1,1,0.48,0.48000000,4243.29000000,4243.29,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251017,378,1,1,0.08,0.08000000,4257.78000000,4257.78,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251021,380,1,1,0.15,0.15000000,4321.85000000,4321.85,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251022,382,1,1,0.37,0.37000000,4147.37000000,4147.37,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20251023,384,1,1,0.17,0.17000000,4128.09000000,4128.09,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251024,386,1,1,0.07,0.07000000,4078.71000000,4078.7099999999996,-1.0000,-1.0000000000000142,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20251028,388,1,1,0.36,0.36000000,3958.71000000,3958.7100000000005,-1.0000,-0.9999999999999334,-1.00000000,true,true,true
