replay_mode;strategy_id;exit_model;cluster_id;direction;entry_time;exit_time;exit_reason;entry_price;initial_stop;initial_risk;gross_r;net_r_after_costs;mfe_until_exit_r;mae_until_exit_r;mfe_reference_horizon_r;mae_reference_horizon_r;bars_to_mfe;minutes_to_mfe;bars_held;minutes_held;surrender_r;pct_open_trade_mfe_captured;pct_reference_horizon_mfe_captured;number_of_trail_updates;final_stop;replay_price_mode;session;weekday;sequencing_ambiguous;skipped_while_occupied
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1779493200|MSZZ|XAUUSD|5|0|-1|1779487200|1779487200;S;2026.05.22 23:45:00;2026.05.25 01:00:00;SL;4504.89000;4520.31000;15.42000;-1.0000;-1.0200;0.0467;-3.0804;8.9741;-5.8508;878;7655;4;2955;1.0667;null;-0.1137;0;4520.31000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779671100|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 01:10:00;2026.05.26 14:55:00;SL;4554.82000;4504.24000;50.58000;-1.0000;-1.0200;0.5042;-1.0117;0.7966;-3.7230;1279;6780;413;2265;1.5242;-2.0232;-1.2805;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;Asian;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779672000|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 01:25:00;2026.05.26 14:55:00;SL;4554.65000;4504.24000;50.41000;-1.0000;-1.0200;0.5092;-1.0117;0.8026;-3.7322;1276;6765;410;2250;1.5292;-2.0030;-1.2708;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;Asian;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779672600|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 01:35:00;2026.05.26 14:55:00;SL;4559.04000;4504.24000;54.80000;-1.0000;-1.0200;0.3883;-1.0108;0.6582;-3.5133;1274;6755;408;2240;1.4083;-2.6267;-1.5497;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;Asian;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779697800|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 08:35:00;2026.05.26 14:55:00;SL;4557.79000;4504.24000;53.55000;-1.0000;-1.0200;0.4207;-1.0110;0.6969;-3.5720;1190;6335;324;1820;1.4407;-2.4244;-1.4636;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;London;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779702600|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 09:55:00;2026.05.26 14:55:00;SL;4558.74000;4504.24000;54.50000;-1.0000;-1.0200;0.3960;-1.0108;0.6673;-3.5272;1174;6255;308;1740;1.4160;-2.5760;-1.5285;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;London;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779705000|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 10:35:00;2026.05.26 14:55:00;SL;4559.37000;4504.24000;55.13000;-1.0000;-1.0200;0.3800;-1.0107;0.6483;-3.4983;1166;6215;300;1700;1.4000;-2.6841;-1.5734;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;London;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779712200|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 12:35:00;2026.05.26 14:55:00;SL;4564.99000;4504.24000;60.75000;-1.0000;-1.0200;0.2523;-1.0097;0.4958;-3.2672;1142;6095;276;1580;1.2723;-4.0421;-2.0573;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;London;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779723000|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 15:35:00;2026.05.26 14:55:00;SL;4564.39000;4504.24000;60.15000;-1.0000;-1.0200;0.2648;-1.0098;0.5107;-3.2898;1106;5915;240;1400;1.2848;-3.8514;-1.9972;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;London;Monday;false;false
SIGNAL_LEVEL;1010;SESSION_OVERNIGHT;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1779726600|MSZZ|XAUUSD|5|0|1|1779670800|1779670800;L;2026.05.25 16:35:00;2026.05.26 14:55:00;SL;4564.44000;4504.24000;60.20000;-1.0000;-1.0200;0.2638;-1.0098;0.5095;-3.2879;1094;5855;228;1340;1.2838;-3.8668;-2.0021;0;4504.24000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Monday;false;false
