logical_position_id;book_id;strategy_id;family_id;magic;direction;entry_time;exit_time;entry_price;exit_price;logical_volume;initial_risk_price;execution_cost;realized_r;exit_policy;exit_reason;regime_snapshot_id
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745517900|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1;1010;1;27084001;LONG;2025.04.24 18:10:00;2025.04.24 18:19:58;3325.35;3322.21;0.82;3.1399999999998727;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.04.24 18:10:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745518500|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1;1010;1;27084001;SHORT;2025.04.24 18:20:00;2025.04.24 18:30:00;3320.89;3324.19;0.1;23.740000000000236;0.0;-0.13900589721988835;1;OWN_FAMILY_OPPOSITE;2025.04.24 18:25:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745519100|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1;1010;1;27084001;LONG;2025.04.24 18:30:00;2025.04.24 18:49:58;3324.19;3322.2100000000005;1.3;1.9800000000000182;0.0;-0.9999999999997703;1;BROKER_SL_TP_OR_TEST_END;2025.04.24 18:40:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1745472900|1745472900;2;1050;4;27124002;LONG;2025.04.24 22:35:00;2025.04.24 22:49:58;3339.11;3343.45;1.18;2.1700000000000728;0.0;1.9999999999997904;2;BROKER_SL_TP_OR_TEST_END;2025.04.24 22:40:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1745550300|1745550300;2;1050;4;27124002;SHORT;2025.04.25 03:15:00;2025.04.25 03:19:58;3355.81;3358.17;1.09;2.3600000000001273;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.04.25 03:10:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745544300|MSZZ|XAUUSD|5|0|1|1745542800|1745542800;1;1010;1;27084001;LONG;2025.04.25 01:30:00;2025.04.25 04:55:00;3363.46;3344.22;0.08;30.0;0.0;-0.6413333333333412;1;OWN_FAMILY_OPPOSITE;2025.04.25 04:50:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1745553900|1745553900;2;1050;4;27124002;SHORT;2025.04.25 04:20:00;2025.04.25 06:59:58;3351.93;3329.51;0.23;11.210000000000036;0.0;1.9999999999999594;2;BROKER_SL_TP_OR_TEST_END;2025.04.25 06:50:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745616900|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1;1010;1;27084001;SHORT;2025.04.25 21:40:00;2025.04.28 21:29:58;3291.29;3347.01;0.04;55.720000000000255;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.04.28 21:20:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1746038400|1746038400;2;1050;4;27124002;LONG;2025.04.30 18:55:00;2025.04.30 22:29:58;3304.18;3299.02;0.5;5.1599999999998545;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.04.30 22:20:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746201600|MSZZ|XAUUSD|5|0|-1|1746053700|1746053700;1;1010;1;27084001;SHORT;2025.05.02 16:05:00;2025.05.05 12:30:00;3244.12;3302.25;0.03;69.55000000000018;0.0;-0.8358015815959735;1;OWN_FAMILY_OPPOSITE;2025.05.05 12:25:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1746447900|MSZZ|XAUUSD|5|0|1|1746447600|1746447600;1;1010;1;27084001;LONG;2025.05.05 12:30:00;2025.05.06 04:14:58;3302.25;3359.64;0.13;19.13000000000011;0.0;2.999999999999976;1;BROKER_SL_TP_OR_TEST_END;2025.05.06 04:05:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1747021200|1747021200;2;1050;4;27124002;LONG;2025.05.12 03:50:00;2025.05.12 04:04:58;3277.33;3272.19;0.5;5.139999999999873;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.05.12 03:55:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1746417600|1746417600;2;1050;4;27124002;SHORT;2025.05.12 10:15:00;2025.05.12 10:29:58;3246.48;3226.46;0.25;10.009999999999764;0.0;2.0000000000000453;2;BROKER_SL_TP_OR_TEST_END;2025.05.12 10:20:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747045500|MSZZ|XAUUSD|5|0|-1|1747045200|1747045200;1;1010;1;27084001;SHORT;2025.05.12 10:30:00;2025.05.13 07:54:58;3231.18;3253.36;0.11;22.18000000000029;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.13 07:45:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1747668000|1747668000;2;1050;4;27124002;LONG;2025.05.20 15:30:00;2025.05.20 16:09:58;3241.45;3234.47;0.37;6.980000000000018;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.05.20 16:00:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1747760400|MSZZ|XAUUSD|5|0|1|1747760100|1747760100;1;1010;1;27084001;LONG;2025.05.20 17:05:00;2025.05.22 04:24:58;3271.08;3333.09;0.12;20.670000000000073;0.0;3.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.22 04:15:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748413200|MSZZ|XAUUSD|5|0|-1|1748412900|1748412900;1;1010;1;27084001;SHORT;2025.05.28 06:25:00;2025.05.28 11:50:00;3296.02;3320.81;0.06;40.820000000000164;0.0;-0.6073003429691295;1;OWN_FAMILY_OPPOSITE;2025.05.28 11:45:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1748412900|1748412900;2;1050;4;27124002;LONG;2025.05.28 08:30:00;2025.05.28 18:04:58;3308.88;3296.0400000000004;0.2;12.840000000000146;0.0;-0.9999999999999646;2;BROKER_SL_TP_OR_TEST_END;2025.05.28 17:55:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748450100|MSZZ|XAUUSD|5|0|-1|1748448900|1748448900;1;1010;1;27084001;SHORT;2025.05.28 16:40:00;2025.05.29 19:05:00;3303.78;3326.39;0.07;33.059999999999945;0.0;-0.6839080459770027;1;OWN_FAMILY_OPPOSITE;2025.05.29 19:00:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748545200|MSZZ|XAUUSD|5|0|1|1748275200|1748275200;1;1010;1;27084001;LONG;2025.05.29 19:05:00;2025.05.29 22:44:58;3326.39;3316.09;0.25;10.299999999999727;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.29 22:35:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748578500|MSZZ|XAUUSD|5|0|1|1748540700|1748540700;1;1010;1;27084001;LONG;2025.05.30 04:20:00;2025.05.30 04:49:58;3320.02;3309.59;0.24;10.429999999999836;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.30 04:40:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1748586300|1748586300;2;1050;4;27124002;LONG;2025.05.30 08:30:00;2025.05.30 08:54:58;3297.14;3301.6;1.15;2.230000000000018;0.0;2.0;2;BROKER_SL_TP_OR_TEST_END;2025.05.30 08:45:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748584200|MSZZ|XAUUSD|5|0|-1|1748583900|1748583900;1;1010;1;27084001;SHORT;2025.05.30 05:55:00;2025.05.30 13:10:00;3296.38;3299.58;0.12;21.049999999999727;0.0;-0.15201900237529023;1;OWN_FAMILY_OPPOSITE;2025.05.30 13:05:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748610300|MSZZ|XAUUSD|5|0|1|1748607600|1748607900;1;1010;1;27084001;LONG;2025.05.30 13:10:00;2025.05.30 13:25:00;3299.58;3297.14;0.21;12.179999999999836;0.0;-0.20032840722496612;1;OWN_FAMILY_OPPOSITE;2025.05.30 13:20:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748611200|MSZZ|XAUUSD|5|0|-1|1748606700|1748607000;1;1010;1;27084001;SHORT;2025.05.30 13:25:00;2025.05.30 14:24:57;3297.14;3290.78;1.22;2.1200000000003456;0.0;2.9999999999993565;1;BROKER_SL_TP_OR_TEST_END;2025.05.30 14:15:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1748616900|1748617200;2;1050;4;27124002;SHORT;2025.05.30 15:10:00;2025.05.30 15:14:58;3289.14;3296.14;0.37;7.0;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.05.30 15:05:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748617800|MSZZ|XAUUSD|5|0|1|1748616900|1748617200;1;1010;1;27084001;LONG;2025.05.30 15:15:00;2025.05.30 16:35:00;3303.01;3292.23;0.18;14.360000000000127;0.0;-0.7506963788300909;1;OWN_FAMILY_OPPOSITE;2025.05.30 16:30:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748622600|MSZZ|XAUUSD|5|0|-1|1748622300|1748622300;1;1010;1;27084001;SHORT;2025.05.30 16:35:00;2025.05.30 16:39:57;3292.23;3296.14;0.66;3.9099999999998545;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.30 16:30:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748623200|MSZZ|XAUUSD|5|0|-1|1748622300|1748622300;1;1010;1;27084001;SHORT;2025.05.30 16:45:00;2025.06.02 01:00:00;3289.57;3296.14;0.39;6.569999999999709;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.05.30 23:50:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1748859000|1748859000;2;1050;4;27124002;SHORT;2025.06.02 12:00:00;2025.06.02 12:14:58;3352.07;3347.65;1.16;2.2100000000000364;0.0;2.0;2;BROKER_SL_TP_OR_TEST_END;2025.06.02 12:05:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1748826000|1748826000;2;1050;4;27124002;SHORT;2025.06.09 04:15:00;2025.06.09 04:59:58;3305.56;3297.94;0.68;3.8099999999999454;0.0;2.0;2;BROKER_SL_TP_OR_TEST_END;2025.06.09 04:50:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1749444900|1749444900;2;1050;4;27124002;LONG;2025.06.09 05:05:00;2025.06.09 05:24:57;3296.45;3302.19;0.9;2.869999999999891;0.0;2.0000000000001585;2;BROKER_SL_TP_OR_TEST_END;2025.06.09 05:15:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749447900|MSZZ|XAUUSD|5|0|1|1749446700|1749446700;1;1010;1;27084001;LONG;2025.06.09 05:50:00;2025.06.10 16:24:58;3306.01;3343.2999999999997;0.21;12.430000000000291;0.0;2.9999999999998903;1;BROKER_SL_TP_OR_TEST_END;2025.06.10 16:15:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1749223800|1749223800;2;1050;4;27124002;LONG;2025.06.11 23:55:00;2025.06.12 01:19:58;3353.42;3362.72;0.56;4.650000000000091;0.0;1.9999999999999023;2;BROKER_SL_TP_OR_TEST_END;2025.06.12 01:10:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1749640200|MSZZ|XAUUSD|5|0|-1|1749223800|1749223800;1;1010;1;27084001;SHORT;2025.06.11 11:15:00;2025.06.12 01:24:57;3345.07;3364.25;0.13;19.179999999999836;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.06.12 01:15:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749693300|MSZZ|XAUUSD|5|0|1|1749692100|1749692700;1;1010;1;27084001;LONG;2025.06.12 02:00:00;2025.06.12 02:50:00;3369.08;3362.73;0.13;19.7199999999998;0.0;-0.3220081135902623;1;OWN_FAMILY_OPPOSITE;2025.06.12 02:45:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1749696300|MSZZ|XAUUSD|5|0|-1|1749694500|1749694500;1;1010;1;27084001;SHORT;2025.06.12 02:50:00;2025.06.12 03:50:00;3362.73;3370.9799999999996;0.24;10.710000000000036;0.0;-0.7703081232492547;1;OWN_FAMILY_OPPOSITE;2025.06.12 03:45:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1749698700|1749698700;2;1050;4;27124002;SHORT;2025.06.12 03:55:00;2025.06.12 04:19:58;3368.18;3371.32;0.84;3.1400000000003274;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.06.12 04:10:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1749699900|MSZZ|XAUUSD|5|0|1|1749698700|1749698700;1;1010;1;27084001;LONG;2025.06.12 03:50:00;2025.06.12 10:30:00;3370.98;3369.9399999999996;0.19;13.300000000000182;0.0;-0.0781954887218349;1;OWN_FAMILY_OPPOSITE;2025.06.12 10:25:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1749723300|1749723300;2;1050;4;27124002;LONG;2025.06.12 10:30:00;2025.06.12 10:34:58;3370.13;3368.32;1.45;1.8099999999999454;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.06.12 10:25:00
