strategy_id;family_id;setup_name;signal_time;expiry_time;direction;entry;stop;target;score;origin_id;event_id;reason;canonical_variant_id;hypothesis_version;regime_id;session_id;reference_level_type;structural_context;stop_distance_points;target_r;spread_to_risk_ratio
1200;8;Session Sweep Reversal;2025.03.05 19:25:00;2025.03.05 19:40:00;SHORT;2918.29;2921.05;2912.76;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741202400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 19:25:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2920.90000;276.47;2.0000;0.018085
1200;8;Session Sweep Reversal;2025.03.05 20:25:00;2025.03.05 20:40:00;SHORT;2916.46;2920.82;2907.74;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741205700|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 20:25:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2920.69000;435.94;2.0000;0.022939
1200;8;Session Sweep Reversal;2025.03.05 20:30:00;2025.03.05 20:45:00;SHORT;2916.63;2920.82;2908.25;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741206300|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 20:30:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2920.69000;418.89;2.0000;0.028647
1200;8;Session Sweep Reversal;2025.03.05 21:40:00;2025.03.05 21:55:00;SHORT;2918.50;2919.57;2916.36;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741210200|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 21:40:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.48000;107.12;2.0000;0.112022
1200;8;Session Sweep Reversal;2025.03.05 23:15:00;2025.03.05 23:30:00;SHORT;2918.39;2920.77;2913.63;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741215900|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 23:15:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2920.71000;238.00;2.0000;0.079831
1200;8;Session Sweep Reversal;2025.03.05 23:40:00;2025.03.05 23:55:00;SHORT;2918.34;2919.98;2915.06;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741217100|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 23:40:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.93000;164.24;2.0000;0.127862
1200;8;Session Sweep Reversal;2025.03.05 23:45:00;2025.03.06 00:00:00;SHORT;2918.68;2919.20;2917.63;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741218000|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 23:45:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.15000;52.41;2.0000;0.305260
1200;8;Session Sweep Reversal;2025.03.05 23:55:00;2025.03.06 00:10:00;SHORT;2917.38;2919.65;2912.85;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741218600|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 23:55:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.59000;226.71;2.0000;0.022055
1200;8;Session Sweep Reversal;2025.03.06 09:40:00;2025.03.06 09:55:00;LONG;2915.22;2911.48;2922.70;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741253400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 09:40:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2911.60000;373.85;2.0000;0.013374
1200;8;Session Sweep Reversal;2025.03.06 09:45:00;2025.03.06 10:00:00;LONG;2915.86;2913.19;2921.20;7.0000;ASIA_LOW|20250306;SSR|ASIA_LOW|20250306|1741254000|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.06 09:45:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2926.53000;asian_low=2914.52000;sweep_extreme=2913.31000;267.11;2.0000;0.018719
