strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
AlignedFastPullback,directional_efficiency,STRONG,gt,0.70,false,2,-2.000000,-1.000000,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,23,-7.016900,-0.305083,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,31,-4.998700,-0.161248,offline entry-time sensitivity; classifier and executions unchanged
AlignedFastPullback,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,38,1.035000,0.027237,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,CONTRACTING,lt,0.75,false,40,-6.974400,-0.174360,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,CONTRACTING,lt,0.80,true,55,-9.969400,-0.181262,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,CONTRACTING,lt,0.85,false,71,-14.966800,-0.210800,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,EXPANDING,gt,1.15,false,164,-12.729200,-0.077617,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,EXPANDING,gt,1.20,true,157,-23.738900,-0.151203,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,normalized_atr,EXPANDING,gt,1.25,false,138,-31.739600,-0.229997,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,WEAK,lt,0.30,false,244,-24.704500,-0.101248,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,WEAK,lt,0.35,true,276,-26.701000,-0.096743,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,WEAK,lt,0.40,false,293,-25.701000,-0.087717,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,STRONG,gt,0.60,false,16,-6.995700,-0.437231,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,STRONG,gt,0.65,true,6,3.004300,0.500717,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,directional_efficiency,STRONG,gt,0.70,false,4,-0.996500,-0.249125,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,66,-11.197100,-0.169653,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,77,-9.277900,-0.120492,offline entry-time sensitivity; classifier and executions unchanged
BreakoutRetest,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,91,-8.278700,-0.090975,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,normalized_atr,CONTRACTING,lt,0.75,false,19,7.043300,0.370700,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,normalized_atr,CONTRACTING,lt,0.80,true,22,10.043300,0.456514,offline entry-time sensitivity; classifier and executions unchanged
SweepReclaim,normalized_atr,CONTRACTING,lt,0.85,false,27,11.043300,0.409011,offline entry-time sensitivity; classifier and executions unchanged
