logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765401900,1096,1,1,0.13,0.13000000,4191.65000000,4191.65,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251210|1765403100,1098,1,1,0.12,0.12000000,4242.74000000,4242.74,1.9995,1.999473407056238,1.99947341,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251211|1765440000,1100,1,1,0.42,0.42000000,4221.33000000,4221.33,2.0000,1.999999999999841,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251211|1765466100,1102,1,1,0.34,0.34000000,4226.50000000,4226.5,1.9986,1.998593530239197,1.99859353,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251212|1765562100,1104,1,1,0.1,0.10000000,4278.67000000,4278.67,-0.0710,-0.07098638052002564,-0.07098638,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251212|1765564800,1106,1,1,0.11,0.11000000,4282.16000000,4282.16,0.1548,0.1547671840354658,0.15476718,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251212|1765567200,1108,1,1,0.27,0.27000000,4291.21000000,4291.21,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251215|1765785600,1110,1,1,0.5,0.50000000,4345.72000000,4345.72,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251215|1765786800,1112,1,1,1.31,1.31000000,4345.91000000,4345.91,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251215|1765787700,1114,1,1,0.67,0.67000000,4336.98000000,4336.98,2.0028,2.002754820936699,2.00275482,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251215|1765798200,1116,1,1,0.4,0.40000000,4331.99000000,4331.99,2.0016,2.001639344262182,2.00163934,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20251215|1765823700,1118,1,1,0.21,0.21000000,4285.01000000,4285.01,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251216|1765900800,1120,1,1,0.54,0.54000000,4320.10000000,4320.1,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251216|1765905000,1122,1,1,0.13,0.13000000,4334.68000000,4334.68,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251217|1765986900,1124,1,1,0.12,0.12000000,4346.45000000,4346.45,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20251217|1765992600,1126,1,1,0.16,0.16000000,4328.50000000,4328.5,0.4127,0.4127090301003443,0.41270903,true,true,true
